DISEASE,MMWR_YEAR,MMWR_WEEK,CURRENT_WEEK,YTD_CASES,AVERAGE_5Y
Vancomycin-resistant Staphylococcus aureus,2014,19,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,19,9,113,12
Viral hemorrhagic fever,2014,19,NA,NA,NA
Yellow fever,2014,19,NA,NA,NA
Anthrax,2014,20,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,20,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,20,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,20,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,20,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,20,NA,NA,NA
"Botulism, total",2014,20,NA,34,3
"Botulism, foodborne",2014,20,NA,NA,0
"Botulism, infant",2014,20,NA,29,2
"Botulism, other (wound and unspecified)",2014,20,NA,5,0
Brucellosis,2014,20,NA,13,3
Chancroid,2014,20,NA,8,0
Cholera,2014,20,NA,NA,0
Cyclosporiasis,2014,20,NA,20,3
Diphtheria,2014,20,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,20,1,11,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,20,NA,67,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,20,1,110,4
Hansen disease,2014,20,NA,17,2
Hantavirus pulmonary syndrome,2014,20,NA,4,1
"Hemolytic uremic syndrome, postdiarrheal",2014,20,1,29,5
"Hepatitis B, virus infection perinatal",2014,20,NA,15,1
"Influenza-associated pediatric mortality,",2014,20,1,86,2
Leptospirosis,2014,20,NA,4,0
Listeriosis,2014,20,7,149,12
Measles,2014,20,28,220,6
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,20,NA,45,5
"Meningococcal disease, invasive, serogroup B",2014,20,NA,26,3
"Meningococcal disease, invasive, other serogroup",2014,20,NA,5,0
"Meningococcal disease, invasive, unknown serogroup",2014,20,6,122,6
Novel influenza A virus infections***,2014,20,NA,NA,376
Plague,2014,20,NA,NA,0
"Poliomyelitis, paralytic",2014,20,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,20,NA,NA,NA
Psittacosis,2014,20,NA,NA,0
"Q fever, total",2014,20,NA,38,3
"Q fever, acute",2014,20,NA,28,3
"Q fever, chronic",2014,20,NA,10,0
"Rabies, human",2014,20,NA,NA,0
Rubella,2014,20,NA,2,0
"Rubella, congenital syndrome",2014,20,NA,NA,NA
SARS-CoV,2014,20,NA,NA,NA
Smallpox,2014,20,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,20,1,62,4
"Syphilis, congenital (age <1 yr)",2014,20,NA,63,6
Tetanus,2014,20,NA,6,0
Toxic-shock syndrome (staphylococcal),2014,20,2,18,2
Trichinellosis,2014,20,NA,2,0
Tularemia,2014,20,NA,10,4
Typhoid fever,2014,20,3,95,7
Vancomycin-intermediate Staphylococcus aureus,2014,20,1,69,2
Vancomycin-resistant Staphylococcus aureus,2014,20,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,20,7,119,12
Viral hemorrhagic fever,2014,20,NA,NA,NA
Yellow fever,2014,20,NA,NA,NA
Anthrax,2014,21,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,21,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,21,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,21,NA,NA,1
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,21,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,21,NA,NA,NA
"Botulism, total",2014,21,1,39,3
"Botulism, foodborne",2014,21,NA,NA,0
"Botulism, infant",2014,21,1,31,2
"Botulism, other (wound and unspecified)",2014,21,NA,8,0
Brucellosis,2014,21,1,16,3
Chancroid,2014,21,NA,7,0
Cholera,2014,21,NA,NA,0
Cyclosporiasis,2014,21,NA,22,3
Diphtheria,2014,21,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,21,NA,12,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,21,NA,68,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,21,3,116,4
Hansen disease,2014,21,NA,17,2
Hantavirus pulmonary syndrome,2014,21,1,4,1
"Hemolytic uremic syndrome, postdiarrheal",2014,21,1,33,5
"Hepatitis B, virus infection perinatal",2014,21,NA,16,1
"Influenza-associated pediatric mortality,",2014,21,1,87,2
Leptospirosis,2014,21,NA,4,0
Listeriosis,2014,21,10,168,13
Measles,2014,21,87,307,6
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,21,NA,46,5
"Meningococcal disease, invasive, serogroup B",2014,21,NA,28,3
"Meningococcal disease, invasive, other serogroup",2014,21,NA,5,0
"Meningococcal disease, invasive, unknown serogroup",2014,21,1,123,6
Novel influenza A virus infections***,2014,21,NA,NA,415
Plague,2014,21,NA,1,0
"Poliomyelitis, paralytic",2014,21,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,21,NA,NA,NA
Psittacosis,2014,21,NA,NA,0
"Q fever, total",2014,21,1,42,3
"Q fever, acute",2014,21,1,31,2
"Q fever, chronic",2014,21,NA,11,0
"Rabies, human",2014,21,NA,NA,0
Rubella,2014,21,NA,2,0
"Rubella, congenital syndrome",2014,21,NA,NA,0
SARS-CoV,2014,21,NA,NA,NA
Smallpox,2014,21,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,21,1,67,4
"Syphilis, congenital (age <1 yr)",2014,21,NA,68,6
Tetanus,2014,21,NA,6,0
Toxic-shock syndrome (staphylococcal),2014,21,NA,18,2
Trichinellosis,2014,21,NA,2,0
Tularemia,2014,21,2,11,5
Typhoid fever,2014,21,2,105,7
Vancomycin-intermediate Staphylococcus aureus,2014,21,3,76,2
Vancomycin-resistant Staphylococcus aureus,2014,21,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,21,8,138,14
Viral hemorrhagic fever,2014,21,NA,NA,NA
Yellow fever,2014,21,NA,NA,NA
Anthrax,2014,22,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,22,NA,NA,1
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,22,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,22,NA,NA,1
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,22,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,22,NA,NA,NA
"Botulism, total",2014,22,NA,42,3
"Botulism, foodborne",2014,22,NA,NA,0
"Botulism, infant",2014,22,NA,33,2
"Botulism, other (wound and unspecified)",2014,22,NA,9,0
Brucellosis,2014,22,NA,19,2
Chancroid,2014,22,1,7,0
Cholera,2014,22,NA,NA,0
Cyclosporiasis,2014,22,NA,22,4
Diphtheria,2014,22,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,22,NA,12,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,22,NA,71,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,22,2,119,4
Hansen disease,2014,22,1,18,2
Hantavirus pulmonary syndrome,2014,22,NA,5,1
"Hemolytic uremic syndrome, postdiarrheal",2014,22,2,37,5
"Hepatitis B, virus infection perinatal",2014,22,4,20,1
"Influenza-associated pediatric mortality,",2014,22,1,88,2
Leptospirosis,2014,22,NA,4,0
Listeriosis,2014,22,4,175,14
Measles,2014,22,29,335,5
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,22,NA,46,4
"Meningococcal disease, invasive, serogroup B",2014,22,NA,29,3
"Meningococcal disease, invasive, other serogroup",2014,22,NA,6,0
"Meningococcal disease, invasive, unknown serogroup",2014,22,2,125,6
Novel influenza A virus infections***,2014,22,NA,NA,435
Plague,2014,22,NA,1,0
"Poliomyelitis, paralytic",2014,22,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,22,NA,NA,NA
Psittacosis,2014,22,NA,NA,0
"Q fever, total",2014,22,NA,48,3
"Q fever, acute",2014,22,NA,36,3
"Q fever, chronic",2014,22,NA,12,1
"Rabies, human",2014,22,NA,NA,0
Rubella,2014,22,1,4,0
"Rubella, congenital syndrome",2014,22,NA,NA,0
SARS-CoV,2014,22,NA,NA,NA
Smallpox,2014,22,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,22,3,74,3
"Syphilis, congenital (age <1 yr)",2014,22,NA,70,6
Tetanus,2014,22,NA,7,0
Toxic-shock syndrome (staphylococcal),2014,22,NA,18,2
Trichinellosis,2014,22,NA,2,0
Tularemia,2014,22,3,14,6
Typhoid fever,2014,22,NA,108,7
Vancomycin-intermediate Staphylococcus aureus,2014,22,1,77,2
Vancomycin-resistant Staphylococcus aureus,2014,22,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,22,4,144,16
Viral hemorrhagic fever,2014,22,NA,NA,NA
Yellow fever,2014,22,NA,NA,NA
Anthrax,2014,23,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,23,NA,NA,1
Smallpox,2014,39,NA,NA,NA
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,23,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,23,NA,NA,1
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,23,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,23,NA,NA,NA
"Botulism, total",2014,23,NA,45,3
"Botulism, foodborne",2014,23,NA,NA,0
"Botulism, infant",2014,23,NA,36,2
"Botulism, other (wound and unspecified)",2014,23,NA,9,0
Brucellosis,2014,23,NA,23,2
Chancroid,2014,23,1,8,0
Cholera,2014,23,NA,NA,0
Cyclosporiasis,2014,23,1,24,9
Diphtheria,2014,23,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,23,NA,12,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,23,1,73,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,23,3,124,4
Hansen disease,2014,23,1,19,2
Hantavirus pulmonary syndrome,2014,23,NA,5,1
"Hemolytic uremic syndrome, postdiarrheal",2014,23,3,41,5
"Hepatitis B, virus infection perinatal",2014,23,NA,20,1
"Influenza-associated pediatric mortality,",2014,23,NA,88,2
Leptospirosis,2014,23,NA,5,0
Listeriosis,2014,23,5,180,14
Measles,2014,23,65,402,5
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,23,NA,49,4
"Meningococcal disease, invasive, serogroup B",2014,23,NA,30,3
"Meningococcal disease, invasive, other serogroup",2014,23,1,7,0
"Meningococcal disease, invasive, unknown serogroup",2014,23,4,128,6
Novel influenza A virus infections***,2014,23,NA,NA,410
Plague,2014,23,NA,1,0
"Poliomyelitis, paralytic",2014,23,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,23,NA,NA,NA
Psittacosis,2014,23,NA,NA,0
"Q fever, total",2014,23,NA,53,3
"Q fever, acute",2014,23,NA,39,3
"Q fever, chronic",2014,23,NA,14,1
"Rabies, human",2014,23,NA,NA,0
Rubella,2014,23,NA,4,0
"Rubella, congenital syndrome",2014,23,NA,NA,0
SARS-CoV,2014,23,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,23,2,78,3
"Syphilis, congenital (age <1 yr)",2014,23,NA,73,6
Tetanus,2014,23,NA,7,0
Toxic-shock syndrome (staphylococcal),2014,23,NA,18,1
Trichinellosis,2014,23,NA,2,0
Tularemia,2014,23,NA,17,7
Typhoid fever,2014,23,4,115,7
Vancomycin-intermediate Staphylococcus aureus,2014,23,NA,79,2
Vancomycin-resistant Staphylococcus aureus,2014,23,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,23,5,157,17
Viral hemorrhagic fever,2014,23,NA,NA,NA
Yellow fever,2014,23,NA,NA,NA
Anthrax,2014,24,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,24,NA,NA,2
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,24,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,24,NA,NA,1
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,24,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,24,NA,NA,NA
"Botulism, total",2014,24,12,59,3
"Botulism, foodborne",2014,24,NA,NA,0
"Botulism, infant",2014,24,1,38,2
"Botulism, other (wound and unspecified)",2014,24,11,21,0
Brucellosis,2014,24,NA,26,2
Chancroid,2014,24,2,10,0
Cholera,2014,24,NA,NA,0
Cyclosporiasis,2014,24,NA,24,10
Diphtheria,2014,24,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,24,NA,12,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,24,NA,73,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,24,3,130,4
Hansen disease,2014,24,NA,19,1
Hantavirus pulmonary syndrome,2014,24,NA,5,0
"Hemolytic uremic syndrome, postdiarrheal",2014,24,4,47,6
"Hepatitis B, virus infection perinatal",2014,24,NA,20,1
"Influenza-associated pediatric mortality,",2014,24,NA,88,2
Leptospirosis,2014,24,NA,5,0
Listeriosis,2014,24,2,182,15
Measles,2014,24,1,403,4
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,24,2,53,4
"Q fever, acute",2014,26,NA,49,3
"Meningococcal disease, invasive, serogroup B",2014,24,NA,31,2
"Meningococcal disease, invasive, other serogroup",2014,24,NA,7,0
"Meningococcal disease, invasive, unknown serogroup",2014,24,2,131,5
Novel influenza A virus infections***,2014,24,NA,NA,375
Plague,2014,24,NA,1,0
"Poliomyelitis, paralytic",2014,24,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,24,NA,NA,NA
Psittacosis,2014,24,NA,NA,0
"Q fever, total",2014,24,2,58,3
"Q fever, acute",2014,24,2,44,3
"Q fever, chronic",2014,24,NA,14,0
"Rabies, human",2014,24,NA,NA,0
Rubella,2014,24,NA,4,0
"Rubella, congenital syndrome",2014,24,NA,NA,0
SARS-CoV,2014,24,NA,NA,NA
Smallpox,2014,24,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,24,NA,80,2
"Syphilis, congenital (age <1 yr)",2014,24,NA,77,6
Tetanus,2014,24,NA,8,0
Toxic-shock syndrome (staphylococcal),2014,24,NA,18,1
Trichinellosis,2014,24,NA,2,0
Tularemia,2014,24,3,23,7
Typhoid fever,2014,24,5,122,7
Vancomycin-intermediate Staphylococcus aureus,2014,24,1,80,2
Vancomycin-resistant Staphylococcus aureus,2014,24,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,24,12,176,20
Viral hemorrhagic fever,2014,24,NA,NA,NA
Yellow fever,2014,24,NA,NA,NA
Anthrax,2014,25,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,25,NA,1,2
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,25,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,25,NA,NA,1
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,25,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,25,NA,NA,NA
"Botulism, total",2014,25,1,59,3
"Botulism, foodborne",2014,25,NA,NA,0
"Botulism, infant",2014,25,NA,38,2
"Botulism, other (wound and unspecified)",2014,25,1,21,0
Brucellosis,2014,25,1,30,2
Chancroid,2014,25,NA,8,0
Cholera,2014,25,NA,3,0
Cyclosporiasis,2014,25,6,34,12
Diphtheria,2014,25,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,25,1,14,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,25,NA,77,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,25,2,134,3
Hansen disease,2014,25,2,22,1
Hantavirus pulmonary syndrome,2014,25,NA,5,1
"Hemolytic uremic syndrome, postdiarrheal",2014,25,1,48,7
"Hepatitis B, virus infection perinatal",2014,25,NA,25,1
"Influenza-associated pediatric mortality,",2014,25,2,90,2
Leptospirosis,2014,25,NA,5,0
Listeriosis,2014,25,7,191,17
Measles,2014,25,26,503,3
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,25,NA,54,4
"Meningococcal disease, invasive, serogroup B",2014,25,NA,31,2
"Meningococcal disease, invasive, other serogroup",2014,25,NA,7,0
"Meningococcal disease, invasive, unknown serogroup",2014,25,2,134,6
Novel influenza A virus infections***,2014,25,NA,NA,321
Plague,2014,25,NA,1,0
"Poliomyelitis, paralytic",2014,25,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,25,NA,NA,NA
Psittacosis,2014,25,NA,NA,0
"Q fever, total",2014,25,NA,59,3
"Q fever, acute",2014,25,NA,45,3
"Q fever, chronic",2014,25,NA,14,0
"Rabies, human",2014,25,NA,NA,0
Rubella,2014,25,NA,5,0
"Rubella, congenital syndrome",2014,25,NA,NA,0
SARS-CoV,2014,25,NA,NA,NA
Smallpox,2014,25,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,25,2,85,2
"Syphilis, congenital (age <1 yr)",2014,25,NA,82,6
Tetanus,2014,25,NA,9,0
Toxic-shock syndrome (staphylococcal),2014,25,NA,18,1
Trichinellosis,2014,25,1,3,0
Tularemia,2014,25,2,30,7
Typhoid fever,2014,25,2,135,7
Vancomycin-intermediate Staphylococcus aureus,2014,25,5,88,2
Vancomycin-resistant Staphylococcus aureus,2014,25,NA,NA,0
"Q fever, chronic",2014,26,1,15,0
Vibriosis (noncholera Vibrio species infections),2014,25,13,193,22
Viral hemorrhagic fever,2014,25,NA,NA,NA
Yellow fever,2014,25,NA,NA,NA
Anthrax,2014,26,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,26,NA,2,3
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,26,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,26,NA,NA,1
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,26,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,26,NA,NA,NA
"Botulism, total",2014,26,NA,65,3
"Botulism, foodborne",2014,26,NA,1,0
"Botulism, infant",2014,26,NA,43,2
"Botulism, other (wound and unspecified)",2014,26,NA,21,0
Brucellosis,2014,26,NA,31,2
Chancroid,2014,26,NA,8,0
Cholera,2014,26,NA,NA,0
Cyclosporiasis,2014,26,5,43,16
Diphtheria,2014,26,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,26,NA,13,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,26,2,79,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,26,3,142,4
Hansen disease,2014,26,NA,23,2
Hantavirus pulmonary syndrome,2014,26,NA,5,1
"Hemolytic uremic syndrome, postdiarrheal",2014,26,1,49,7
"Hepatitis B, virus infection perinatal",2014,26,NA,23,1
"Influenza-associated pediatric mortality,",2014,26,1,91,2
Leptospirosis,2014,26,NA,5,0
Listeriosis,2014,26,11,207,17
Measles,2014,26,22,532,3
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,26,NA,54,4
"Meningococcal disease, invasive, serogroup B",2014,26,NA,32,2
"Meningococcal disease, invasive, other serogroup",2014,26,NA,7,0
"Meningococcal disease, invasive, unknown serogroup",2014,26,5,144,6
Novel influenza A virus infections***,2014,26,NA,NA,269
Plague,2014,26,NA,1,0
"Poliomyelitis, paralytic",2014,26,NA,NA,0
"Polio virus Infection, nonparalytic",2014,26,NA,NA,NA
Psittacosis,2014,26,NA,NA,0
"Q fever, total",2014,26,1,64,3
"Rabies, human",2014,26,NA,NA,0
Rubella,2014,26,NA,5,0
"Rubella, congenital syndrome",2014,26,NA,NA,NA
SARS-CoV,2014,26,NA,NA,NA
Smallpox,2014,26,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,26,3,89,2
"Syphilis, congenital (age <1 yr)",2014,26,NA,91,6
Tetanus,2014,26,1,12,0
Toxic-shock syndrome (staphylococcal),2014,26,NA,21,1
Trichinellosis,2014,26,NA,3,0
Tularemia,2014,26,2,33,7
Typhoid fever,2014,26,3,140,7
Vancomycin-intermediate Staphylococcus aureus,2014,26,1,90,2
Vancomycin-resistant Staphylococcus aureus,2014,26,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,26,12,221,24
Viral hemorrhagic fever,2014,26,NA,NA,NA
Yellow fever,2014,26,NA,NA,NA
Anthrax,2014,27,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,27,NA,2,4
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,27,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,27,NA,NA,1
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,27,NA,1,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,27,NA,NA,NA
"Botulism, total",2014,27,NA,67,3
"Botulism, foodborne",2014,27,NA,1,0
"Botulism, infant",2014,27,NA,45,2
"Botulism, other (wound and unspecified)",2014,27,NA,21,0
Brucellosis,2014,27,NA,31,2
Chancroid,2014,27,1,9,0
Cholera,2014,27,NA,NA,0
Cyclosporiasis,2014,27,3,48,19
Diphtheria,2014,27,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,27,NA,13,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,27,NA,84,3
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,27,1,140,3
Hansen disease,2014,27,1,25,2
Hantavirus pulmonary syndrome,2014,27,NA,5,1
"Hemolytic uremic syndrome, postdiarrheal",2014,27,2,55,8
"Hepatitis B, virus infection perinatal",2014,27,1,25,1
"Influenza-associated pediatric mortality,",2014,27,NA,91,1
Leptospirosis,2014,27,NA,6,0
Listeriosis,2014,27,8,220,18
Measles,2014,27,8,548,3
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,27,1,59,3
"Meningococcal disease, invasive, serogroup B",2014,27,NA,32,2
"Meningococcal disease, invasive, other serogroup",2014,27,NA,7,0
"Meningococcal disease, invasive, unknown serogroup",2014,27,1,143,6
Novel influenza A virus infections***,2014,27,NA,NA,235
Plague,2014,27,NA,1,0
"Poliomyelitis, paralytic",2014,27,NA,NA,0
"Polio virus Infection, nonparalytic",2014,27,NA,NA,NA
Psittacosis,2014,27,NA,NA,0
"Q fever, total",2014,27,NA,64,3
"Q fever, acute",2014,27,NA,49,3
"Q fever, chronic",2014,27,NA,15,0
"Rabies, human",2014,27,NA,NA,0
Rubella,2014,27,NA,5,0
"Rubella, congenital syndrome",2014,27,NA,NA,NA
SARS-CoV,2014,27,NA,NA,NA
Smallpox,2014,27,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,27,4,108,3
"Syphilis, congenital (age <1 yr)",2014,27,NA,95,7
Tetanus,2014,27,NA,13,0
Toxic-shock syndrome (staphylococcal),2014,27,NA,21,1
Trichinellosis,2014,27,NA,3,0
Tularemia,2014,27,NA,33,6
Typhoid fever,2014,27,2,145,7
Vancomycin-intermediate Staphylococcus aureus,2014,27,1,92,2
Vancomycin-resistant Staphylococcus aureus,2014,27,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,27,7,242,28
Viral hemorrhagic fever,2014,27,NA,NA,NA
Yellow fever,2014,27,NA,NA,NA
Anthrax,2014,28,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,28,NA,2,5
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,28,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,28,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,28,NA,1,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,28,NA,NA,NA
"Botulism, total",2014,28,3,60,2
"Botulism, foodborne",2014,28,NA,1,0
Plague,2014,29,NA,1,0
"Botulism, infant",2014,28,3,48,2
"Botulism, other (wound and unspecified)",2014,28,NA,11,0
Brucellosis,2014,28,1,33,2
Chancroid,2014,28,1,9,0
Cholera,2014,28,NA,NA,0
Cyclosporiasis,2014,28,17,70,17
Diphtheria,2014,28,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,28,NA,13,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,28,NA,86,3
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,28,5,148,3
Hansen disease,2014,28,1,26,2
Hantavirus pulmonary syndrome,2014,28,NA,7,1
"Hemolytic uremic syndrome, postdiarrheal",2014,28,3,60,8
"Hepatitis B, virus infection perinatal",2014,28,1,25,1
"Influenza-associated pediatric mortality,",2014,28,1,95,1
Leptospirosis,2014,28,NA,6,0
Listeriosis,2014,28,12,237,19
Measles,2014,28,3,552,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,28,NA,59,3
"Meningococcal disease, invasive, serogroup B",2014,28,NA,33,1
"Meningococcal disease, invasive, other serogroup",2014,28,NA,8,0
"Meningococcal disease, invasive, unknown serogroup",2014,28,1,143,6
Novel influenza A virus infections***,2014,28,NA,NA,213
Plague,2014,28,NA,1,0
"Poliomyelitis, paralytic",2014,28,NA,NA,0
"Polio virus Infection, nonparalytic",2014,28,NA,NA,NA
Psittacosis,2014,28,NA,NA,0
"Q fever, total",2014,28,2,67,3
"Q fever, acute",2014,28,2,52,2
"Q fever, chronic",2014,28,NA,15,0
"Rabies, human",2014,28,NA,NA,0
Rubella,2014,28,NA,5,0
"Rubella, congenital syndrome",2014,28,NA,NA,NA
SARS-CoV,2014,28,NA,NA,NA
Smallpox,2014,28,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,28,1,117,3
"Syphilis, congenital (age <1 yr)",2014,28,NA,101,8
Tetanus,2014,28,NA,12,1
Toxic-shock syndrome (staphylococcal),2014,28,1,22,1
Trichinellosis,2014,28,1,6,0
Tularemia,2014,28,5,39,6
Typhoid fever,2014,28,4,151,7
Vancomycin-intermediate Staphylococcus aureus,2014,28,1,94,2
Vancomycin-resistant Staphylococcus aureus,2014,28,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,28,16,276,34
Viral hemorrhagic fever,2014,28,NA,NA,NA
Yellow fever,2014,28,NA,NA,NA
Anthrax,2014,29,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,29,NA,3,6
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,29,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,29,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,29,NA,1,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,29,NA,NA,NA
"Botulism, total",2014,29,2,66,2
"Botulism, foodborne",2014,29,2,3,0
"Botulism, infant",2014,29,NA,52,2
"Botulism, other (wound and unspecified)",2014,29,NA,11,0
Brucellosis,2014,29,1,35,3
Chancroid,2014,29,NA,10,0
Cholera,2014,29,NA,NA,0
Cyclosporiasis,2014,29,21,102,20
Diphtheria,2014,29,NA,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,29,NA,13,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,29,3,92,3
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,29,NA,147,3
Hansen disease,2014,29,2,28,2
Hantavirus pulmonary syndrome,2014,29,NA,7,1
"Hemolytic uremic syndrome, postdiarrheal",2014,29,5,71,9
"Hepatitis B, virus infection perinatal",2014,29,1,26,1
"Influenza-associated pediatric mortality,",2014,29,4,99,1
Leptospirosis,2014,29,NA,6,0
Listeriosis,2014,29,2,251,20
Measles,2014,29,3,568,2
