DISEASE,MMWR_YEAR,MMWR_WEEK,TOTAL_CASES
"Meningococcal disease, invasive, other serogroup",2014,24,17
"Meningococcal disease, invasive, unknown serogroup",2014,24,298
Novel influenza A virus infections***,2014,24,21
Plague,2014,24,4
"Poliomyelitis, paralytic",2014,24,1
"Polio virus Infection, nonparalytic",2014,24,NA
Psittacosis,2014,24,6
"Q fever, total",2014,24,153
"Q fever, acute",2014,24,121
"Q fever, chronic",2014,24,32
"Rabies, human",2014,24,NA
Rubella,2014,24,9
"Rubella, congenital syndrome",2014,24,1
SARS-CoV,2014,24,NA
Smallpox,2014,24,NA
Streptococcal toxic-shock syndrome,2014,24,223
"Syphilis, congenital (age <1 yr)",2014,24,344
Tetanus,2014,24,26
Toxic-shock syndrome (staphylococcal),2014,24,71
Trichinellosis,2014,24,22
Tularemia,2014,24,202
Typhoid fever,2014,24,338
Vancomycin-intermediate Staphylococcus aureus,2014,24,244
Vancomycin-resistant Staphylococcus aureus,2014,24,NA
Vibriosis (noncholera Vibrio species infections),2014,24,1199
Viral hemorrhagic fever,2014,24,NA
Yellow fever,2014,24,NA
Anthrax,2014,25,NA
"Arboviral diseases, California serogroup virus disease,",2014,25,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,25,8
"Arboviral diseases, Powassan virus disease,",2014,25,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,25,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,25,NA
"Botulism, total",2014,25,152
"Botulism, foodborne",2014,25,4
"Botulism, infant",2014,25,136
"Botulism, other (wound and unspecified)",2014,25,12
Brucellosis,2014,25,99
Chancroid,2014,25,10
Cholera,2014,25,4
Cyclosporiasis,2014,25,784
Diphtheria,2014,25,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,25,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,25,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,25,184
Hansen disease,2014,25,81
Hantavirus pulmonary syndrome,2014,25,16
"Hemolytic uremic syndrome, postdiarrheal",2014,25,329
"Hepatitis B, virus infection perinatal",2014,25,50
"Influenza-associated pediatric mortality,",2014,25,141
Leptospirosis,2014,25,NA
Listeriosis,2014,25,730
Measles,2014,25,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,25,142
"Meningococcal disease, invasive, serogroup B",2014,25,99
"Meningococcal disease, invasive, other serogroup",2014,25,17
"Meningococcal disease, invasive, unknown serogroup",2014,25,298
Novel influenza A virus infections***,2014,25,21
Plague,2014,25,4
"Poliomyelitis, paralytic",2014,25,1
"Polio virus Infection, nonparalytic",2014,25,NA
Psittacosis,2014,25,6
"Q fever, total",2014,25,153
"Q fever, acute",2014,25,121
"Q fever, chronic",2014,25,32
"Rabies, human",2014,25,NA
Rubella,2014,25,9
"Rubella, congenital syndrome",2014,25,1
SARS-CoV,2014,25,NA
Smallpox,2014,25,NA
Streptococcal toxic-shock syndrome,2014,25,224
"Syphilis, congenital (age <1 yr)",2014,25,344
Tetanus,2014,25,26
Toxic-shock syndrome (staphylococcal),2014,25,71
Trichinellosis,2014,25,22
Tularemia,2014,25,202
Typhoid fever,2014,25,338
Vancomycin-intermediate Staphylococcus aureus,2014,25,244
Vancomycin-resistant Staphylococcus aureus,2014,25,NA
"Q fever, chronic",2014,26,32
Vibriosis (noncholera Vibrio species infections),2014,25,1199
Viral hemorrhagic fever,2014,25,NA
Yellow fever,2014,25,NA
Anthrax,2014,26,NA
"Arboviral diseases, California serogroup virus disease,",2014,26,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,26,8
"Arboviral diseases, Powassan virus disease,",2014,26,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,26,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,26,NA
"Botulism, total",2014,26,152
"Botulism, foodborne",2014,26,4
"Botulism, infant",2014,26,136
"Botulism, other (wound and unspecified)",2014,26,12
Brucellosis,2014,26,99
Chancroid,2014,26,10
Cholera,2014,26,4
Cyclosporiasis,2014,26,784
Diphtheria,2014,26,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,26,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,26,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,26,184
Hansen disease,2014,26,81
Hantavirus pulmonary syndrome,2014,26,16
"Hemolytic uremic syndrome, postdiarrheal",2014,26,329
"Hepatitis B, virus infection perinatal",2014,26,50
"Influenza-associated pediatric mortality,",2014,26,141
Leptospirosis,2014,26,NA
Listeriosis,2014,26,730
Measles,2014,26,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,26,142
"Meningococcal disease, invasive, serogroup B",2014,26,99
"Meningococcal disease, invasive, other serogroup",2014,26,17
"Meningococcal disease, invasive, unknown serogroup",2014,26,298
Novel influenza A virus infections***,2014,26,21
Plague,2014,26,4
"Poliomyelitis, paralytic",2014,26,1
"Polio virus Infection, nonparalytic",2014,26,NA
Psittacosis,2014,26,6
"Q fever, total",2014,26,153
"Rabies, human",2014,26,NA
Rubella,2014,26,9
"Rubella, congenital syndrome",2014,26,1
SARS-CoV,2014,26,NA
Smallpox,2014,26,NA
Streptococcal toxic-shock syndrome,2014,26,224
"Syphilis, congenital (age <1 yr)",2014,26,344
Tetanus,2014,26,26
Toxic-shock syndrome (staphylococcal),2014,26,71
Trichinellosis,2014,26,22
Tularemia,2014,26,202
Typhoid fever,2014,26,338
Vancomycin-intermediate Staphylococcus aureus,2014,26,244
Vancomycin-resistant Staphylococcus aureus,2014,26,NA
Vibriosis (noncholera Vibrio species infections),2014,26,1199
Viral hemorrhagic fever,2014,26,NA
Yellow fever,2014,26,NA
Anthrax,2014,27,NA
"Arboviral diseases, California serogroup virus disease,",2014,27,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,27,8
"Arboviral diseases, Powassan virus disease,",2014,27,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,27,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,27,NA
"Botulism, total",2014,27,152
"Botulism, foodborne",2014,27,4
"Botulism, infant",2014,27,136
"Botulism, other (wound and unspecified)",2014,27,12
Brucellosis,2014,27,99
Chancroid,2014,27,10
Cholera,2014,27,4
Cyclosporiasis,2014,27,784
Diphtheria,2014,27,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,27,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,27,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,27,184
Hansen disease,2014,27,81
Hantavirus pulmonary syndrome,2014,27,16
"Hemolytic uremic syndrome, postdiarrheal",2014,27,329
"Hepatitis B, virus infection perinatal",2014,27,50
"Influenza-associated pediatric mortality,",2014,27,164
Leptospirosis,2014,27,NA
Listeriosis,2014,27,730
Measles,2014,27,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,27,142
"Meningococcal disease, invasive, serogroup B",2014,27,99
"Meningococcal disease, invasive, other serogroup",2014,27,17
"Meningococcal disease, invasive, unknown serogroup",2014,27,298
Novel influenza A virus infections***,2014,27,21
Plague,2014,27,4
"Poliomyelitis, paralytic",2014,27,1
"Polio virus Infection, nonparalytic",2014,27,NA
Psittacosis,2014,27,6
"Q fever, total",2014,27,153
"Q fever, acute",2014,27,121
"Q fever, chronic",2014,27,32
"Rabies, human",2014,27,NA
Rubella,2014,27,9
"Rubella, congenital syndrome",2014,27,1
SARS-CoV,2014,27,NA
Smallpox,2014,27,NA
Streptococcal toxic-shock syndrome,2014,27,224
"Syphilis, congenital (age <1 yr)",2014,27,344
Tetanus,2014,27,26
Toxic-shock syndrome (staphylococcal),2014,27,71
Trichinellosis,2014,27,22
Tularemia,2014,27,202
Typhoid fever,2014,27,338
Vancomycin-intermediate Staphylococcus aureus,2014,27,244
Vancomycin-resistant Staphylococcus aureus,2014,27,NA
Vibriosis (noncholera Vibrio species infections),2014,27,1198
Viral hemorrhagic fever,2014,27,NA
Yellow fever,2014,27,NA
Anthrax,2014,28,NA
"Arboviral diseases, California serogroup virus disease,",2014,28,107
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,28,8
"Arboviral diseases, Powassan virus disease,",2014,28,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,28,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,28,NA
"Botulism, total",2014,28,152
"Botulism, foodborne",2014,28,4
Plague,2014,29,4
"Botulism, infant",2014,28,136
"Botulism, other (wound and unspecified)",2014,28,12
Brucellosis,2014,28,99
Chancroid,2014,28,10
Cholera,2014,28,14
Cyclosporiasis,2014,28,784
Diphtheria,2014,28,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,28,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,28,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,28,184
Hansen disease,2014,28,81
Hantavirus pulmonary syndrome,2014,28,21
"Hemolytic uremic syndrome, postdiarrheal",2014,28,329
"Hepatitis B, virus infection perinatal",2014,28,50
"Influenza-associated pediatric mortality,",2014,28,161
Leptospirosis,2014,28,NA
Listeriosis,2014,28,730
Measles,2014,28,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,28,142
"Meningococcal disease, invasive, serogroup B",2014,28,99
"Meningococcal disease, invasive, other serogroup",2014,28,17
"Meningococcal disease, invasive, unknown serogroup",2014,28,298
Novel influenza A virus infections***,2014,28,21
Plague,2014,28,4
"Poliomyelitis, paralytic",2014,28,1
"Polio virus Infection, nonparalytic",2014,28,NA
Psittacosis,2014,28,6
"Q fever, total",2014,28,153
"Q fever, acute",2014,28,121
"Q fever, chronic",2014,28,32
"Rabies, human",2014,28,2
Rubella,2014,28,9
"Rubella, congenital syndrome",2014,28,1
SARS-CoV,2014,28,NA
Smallpox,2014,28,NA
Streptococcal toxic-shock syndrome,2014,28,224
"Syphilis, congenital (age <1 yr)",2014,28,344
Tetanus,2014,28,26
Toxic-shock syndrome (staphylococcal),2014,28,71
Trichinellosis,2014,28,22
Tularemia,2014,28,202
Typhoid fever,2014,28,338
Vancomycin-intermediate Staphylococcus aureus,2014,28,244
Vancomycin-resistant Staphylococcus aureus,2014,28,NA
Vibriosis (noncholera Vibrio species infections),2014,28,1198
Viral hemorrhagic fever,2014,28,NA
Yellow fever,2014,28,NA
Anthrax,2014,29,NA
"Arboviral diseases, California serogroup virus disease,",2014,29,112
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,29,8
"Arboviral diseases, Powassan virus disease,",2014,29,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,29,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,29,NA
"Botulism, total",2014,29,152
"Botulism, foodborne",2014,29,4
"Botulism, infant",2014,29,136
"Botulism, other (wound and unspecified)",2014,29,12
Brucellosis,2014,29,99
Chancroid,2014,29,10
Cholera,2014,29,14
Cyclosporiasis,2014,29,784
Diphtheria,2014,29,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,29,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,29,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,29,184
Hansen disease,2014,29,81
Hantavirus pulmonary syndrome,2014,29,21
"Hemolytic uremic syndrome, postdiarrheal",2014,29,329
"Hepatitis B, virus infection perinatal",2014,29,50
"Influenza-associated pediatric mortality,",2014,29,161
Leptospirosis,2014,29,NA
Listeriosis,2014,29,730
Measles,2014,29,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,29,142
"Meningococcal disease, invasive, serogroup B",2014,29,99
"Meningococcal disease, invasive, other serogroup",2014,29,17
"Meningococcal disease, invasive, unknown serogroup",2014,29,298
Novel influenza A virus infections***,2014,29,21
"Poliomyelitis, paralytic",2014,29,1
"Polio virus Infection, nonparalytic",2014,29,NA
Psittacosis,2014,29,6
"Q fever, total",2014,29,153
"Q fever, acute",2014,29,121
"Q fever, chronic",2014,29,32
"Rabies, human",2014,29,2
Rubella,2014,29,9
"Rubella, congenital syndrome",2014,29,1
SARS-CoV,2014,29,NA
Smallpox,2014,29,NA
Streptococcal toxic-shock syndrome,2014,29,224
"Syphilis, congenital (age <1 yr)",2014,29,344
Tetanus,2014,29,26
Toxic-shock syndrome (staphylococcal),2014,29,71
Trichinellosis,2014,29,22
Tularemia,2014,29,202
Typhoid fever,2014,29,338
Vancomycin-intermediate Staphylococcus aureus,2014,29,244
Vancomycin-resistant Staphylococcus aureus,2014,29,NA
Vibriosis (noncholera Vibrio species infections),2014,29,1198
Viral hemorrhagic fever,2014,29,NA
Yellow fever,2014,29,NA
Anthrax,2014,30,NA
"Arboviral diseases, California serogroup virus disease,",2014,30,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,30,8
"Arboviral diseases, Powassan virus disease,",2014,30,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,30,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,30,NA
"Botulism, total",2014,30,152
"Botulism, foodborne",2014,30,4
"Botulism, infant",2014,30,136
"Botulism, other (wound and unspecified)",2014,30,12
Brucellosis,2014,30,99
Chancroid,2014,30,10
Cholera,2014,30,14
Cyclosporiasis,2014,30,784
Diphtheria,2014,30,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,30,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,30,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,30,184
Hansen disease,2014,30,81
Hantavirus pulmonary syndrome,2014,30,21
"Hemolytic uremic syndrome, postdiarrheal",2014,30,329
"Hepatitis B, virus infection perinatal",2014,30,50
"Influenza-associated pediatric mortality,",2014,30,161
Leptospirosis,2014,30,NA
Listeriosis,2014,30,730
Measles,2014,30,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,30,142
"Meningococcal disease, invasive, serogroup B",2014,30,99
"Meningococcal disease, invasive, other serogroup",2014,30,17
"Meningococcal disease, invasive, unknown serogroup",2014,30,298
Novel influenza A virus infections***,2014,30,21
Plague,2014,30,4
"Poliomyelitis, paralytic",2014,30,1
"Polio virus Infection, nonparalytic",2014,30,NA
Psittacosis,2014,30,6
"Q fever, total",2014,30,153
"Q fever, acute",2014,30,121
"Q fever, chronic",2014,30,32
"Rabies, human",2014,30,2
Rubella,2014,30,9
"Rubella, congenital syndrome",2014,30,1
SARS-CoV,2014,30,NA
Smallpox,2014,30,NA
Streptococcal toxic-shock syndrome,2014,30,224
"Syphilis, congenital (age <1 yr)",2014,30,348
Tetanus,2014,30,26
Toxic-shock syndrome (staphylococcal),2014,30,71
Trichinellosis,2014,30,22
Tularemia,2014,30,202
Typhoid fever,2014,30,338
Vancomycin-intermediate Staphylococcus aureus,2014,30,244
Vancomycin-resistant Staphylococcus aureus,2014,30,NA
Vibriosis (noncholera Vibrio species infections),2014,30,1198
Viral hemorrhagic fever,2014,30,NA
Yellow fever,2014,30,NA
Anthrax,2014,31,NA
"Arboviral diseases, California serogroup virus disease,",2014,31,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,31,8
"Arboviral diseases, Powassan virus disease,",2014,31,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,31,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,31,NA
"Botulism, total",2014,31,152
"Botulism, foodborne",2014,31,4
"Botulism, infant",2014,31,136
"Botulism, other (wound and unspecified)",2014,31,12
Brucellosis,2014,31,99
Chancroid,2014,31,10
Cholera,2014,31,14
Cyclosporiasis,2014,31,784
Diphtheria,2014,31,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,31,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,31,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,31,184
Hansen disease,2014,31,81
Hantavirus pulmonary syndrome,2014,31,21
"Hemolytic uremic syndrome, postdiarrheal",2014,31,329
"Hepatitis B, virus infection perinatal",2014,31,48
"Influenza-associated pediatric mortality,",2014,31,161
Leptospirosis,2014,31,NA
Listeriosis,2014,31,730
Measles,2014,31,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,31,142
"Meningococcal disease, invasive, serogroup B",2014,31,99
"Meningococcal disease, invasive, other serogroup",2014,31,17
"Meningococcal disease, invasive, unknown serogroup",2014,31,298
Novel influenza A virus infections***,2014,31,21
Plague,2014,31,4
"Poliomyelitis, paralytic",2014,31,1
"Polio virus Infection, nonparalytic",2014,31,NA
Psittacosis,2014,31,6
"Q fever, total",2014,31,170
"Q fever, acute",2014,31,137
"Q fever, chronic",2014,31,33
"Rabies, human",2014,31,2
Rubella,2014,31,9
"Rubella, congenital syndrome",2014,31,1
SARS-CoV,2014,31,NA
Smallpox,2014,31,NA
Streptococcal toxic-shock syndrome,2014,31,224
"Syphilis, congenital (age <1 yr)",2014,31,348
Tetanus,2014,31,26
Toxic-shock syndrome (staphylococcal),2014,31,71
Trichinellosis,2014,31,22
Tularemia,2014,31,203
Typhoid fever,2014,31,338
Vancomycin-intermediate Staphylococcus aureus,2014,31,248
Vancomycin-resistant Staphylococcus aureus,2014,31,NA
Vibriosis (noncholera Vibrio species infections),2014,31,1299
Viral hemorrhagic fever,2014,31,NA
Yellow fever,2014,31,NA
Anthrax,2014,32,NA
"Arboviral diseases, California serogroup virus disease,",2014,32,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,32,8
"Arboviral diseases, Powassan virus disease,",2014,32,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,32,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,32,NA
"Botulism, total",2014,32,152
"Botulism, foodborne",2014,32,4
"Botulism, infant",2014,32,136
"Botulism, other (wound and unspecified)",2014,32,12
Brucellosis,2014,32,99
Chancroid,2014,32,10
Cholera,2014,32,14
Cyclosporiasis,2014,32,784
Diphtheria,2014,32,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,32,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,32,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,32,185
Hansen disease,2014,32,81
Hantavirus pulmonary syndrome,2014,32,21
"Hemolytic uremic syndrome, postdiarrheal",2014,32,329
"Hepatitis B, virus infection perinatal",2014,32,48
"Influenza-associated pediatric mortality,",2014,32,161
Leptospirosis,2014,32,NA
Listeriosis,2014,32,735
Measles,2014,32,187
Chancroid,2014,33,10
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,32,142
"Meningococcal disease, invasive, serogroup B",2014,32,99
"Meningococcal disease, invasive, other serogroup",2014,32,17
"Meningococcal disease, invasive, unknown serogroup",2014,32,298
Novel influenza A virus infections***,2014,32,21
Plague,2014,32,4
"Poliomyelitis, paralytic",2014,32,1
"Polio virus Infection, nonparalytic",2014,32,NA
Psittacosis,2014,32,6
"Q fever, total",2014,32,170
"Q fever, acute",2014,32,137
"Q fever, chronic",2014,32,33
"Rabies, human",2014,32,2
Rubella,2014,32,9
"Rubella, congenital syndrome",2014,32,1
SARS-CoV,2014,32,NA
Smallpox,2014,32,NA
Streptococcal toxic-shock syndrome,2014,32,224
"Syphilis, congenital (age <1 yr)",2014,32,348
Tetanus,2014,32,26
Toxic-shock syndrome (staphylococcal),2014,32,71
Trichinellosis,2014,32,22
Tularemia,2014,32,203
Typhoid fever,2014,32,338
Vancomycin-intermediate Staphylococcus aureus,2014,32,248
Vancomycin-resistant Staphylococcus aureus,2014,32,NA
Vibriosis (noncholera Vibrio species infections),2014,32,1299
Viral hemorrhagic fever,2014,32,NA
Yellow fever,2014,32,NA
Anthrax,2014,33,NA
"Arboviral diseases, California serogroup virus disease,",2014,33,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,33,8
"Arboviral diseases, Powassan virus disease,",2014,33,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,33,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,33,NA
"Botulism, total",2014,33,152
"Botulism, foodborne",2014,33,4
"Botulism, infant",2014,33,136
"Botulism, other (wound and unspecified)",2014,33,12
Brucellosis,2014,33,99
Cholera,2014,33,14
Cyclosporiasis,2014,33,784
Diphtheria,2014,33,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,33,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,33,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,33,185
Hansen disease,2014,33,81
Hantavirus pulmonary syndrome,2014,33,21
"Hemolytic uremic syndrome, postdiarrheal",2014,33,329
"Hepatitis B, virus infection perinatal",2014,33,48
"Influenza-associated pediatric mortality,",2014,33,161
Leptospirosis,2014,33,NA
Listeriosis,2014,33,735
Measles,2014,33,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,33,142
"Meningococcal disease, invasive, serogroup B",2014,33,99
"Meningococcal disease, invasive, other serogroup",2014,33,17
"Meningococcal disease, invasive, unknown serogroup",2014,33,298
Novel influenza A virus infections***,2014,33,21
Plague,2014,33,4
"Poliomyelitis, paralytic",2014,33,1
"Polio virus Infection, nonparalytic",2014,33,NA
Psittacosis,2014,33,6
"Q fever, total",2014,33,170
"Q fever, acute",2014,33,137
"Q fever, chronic",2014,33,33
"Rabies, human",2014,33,2
Rubella,2014,33,9
"Rubella, congenital syndrome",2014,33,1
SARS-CoV,2014,33,NA
Smallpox,2014,33,NA
Streptococcal toxic-shock syndrome,2014,33,224
"Syphilis, congenital (age <1 yr)",2014,33,348
Tetanus,2014,33,26
Toxic-shock syndrome (staphylococcal),2014,33,71
Trichinellosis,2014,33,22
Tularemia,2014,33,203
Typhoid fever,2014,33,338
Vancomycin-intermediate Staphylococcus aureus,2014,33,248
Vancomycin-resistant Staphylococcus aureus,2014,33,NA
Vibriosis (noncholera Vibrio species infections),2014,33,1299
Viral hemorrhagic fever,2014,33,NA
Yellow fever,2014,33,NA
Anthrax,2014,34,NA
"Arboviral diseases, California serogroup virus disease,",2014,34,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,34,8
"Arboviral diseases, Powassan virus disease,",2014,34,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,34,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,34,NA
"Botulism, total",2014,34,152
"Botulism, foodborne",2014,34,4
"Botulism, infant",2014,34,136
"Botulism, other (wound and unspecified)",2014,34,12
Brucellosis,2014,34,99
Chancroid,2014,34,10
Cholera,2014,34,14
Cyclosporiasis,2014,34,784
Diphtheria,2014,34,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,34,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,34,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,34,185
Hansen disease,2014,34,81
Hantavirus pulmonary syndrome,2014,34,21
"Hemolytic uremic syndrome, postdiarrheal",2014,34,329
"Hepatitis B, virus infection perinatal",2014,34,48
"Influenza-associated pediatric mortality,",2014,34,161
Leptospirosis,2014,34,NA
Listeriosis,2014,34,735
Measles,2014,34,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,34,142
"Meningococcal disease, invasive, serogroup B",2014,34,99
"Meningococcal disease, invasive, other serogroup",2014,34,17
"Meningococcal disease, invasive, unknown serogroup",2014,34,298
Novel influenza A virus infections***,2014,34,21
Plague,2014,34,4
"Poliomyelitis, paralytic",2014,34,1
"Polio virus Infection, nonparalytic",2014,34,NA
Psittacosis,2014,34,6
"Q fever, total",2014,34,170
"Q fever, acute",2014,34,137
"Q fever, chronic",2014,34,33
"Rabies, human",2014,34,2
Rubella,2014,34,9
"Rubella, congenital syndrome",2014,34,1
SARS-CoV,2014,34,NA
Smallpox,2014,34,NA
Streptococcal toxic-shock syndrome,2014,34,224
"Syphilis, congenital (age <1 yr)",2014,34,348
Tetanus,2014,34,26
Toxic-shock syndrome (staphylococcal),2014,34,71
Trichinellosis,2014,34,22
Tularemia,2014,34,203
Typhoid fever,2014,34,338
Vancomycin-intermediate Staphylococcus aureus,2014,34,248
Vancomycin-resistant Staphylococcus aureus,2014,34,NA
Vibriosis (noncholera Vibrio species infections),2014,34,1299
Viral hemorrhagic fever,2014,34,NA
Yellow fever,2014,34,NA
Anthrax,2014,35,NA
"Arboviral diseases, California serogroup virus disease,",2014,35,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,35,8
"Arboviral diseases, Powassan virus disease,",2014,35,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,35,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,35,NA
"Botulism, total",2014,35,152
"Botulism, foodborne",2014,35,4
"Botulism, infant",2014,35,136
"Botulism, other (wound and unspecified)",2014,35,12
Brucellosis,2014,35,99
Chancroid,2014,35,10
Cholera,2014,35,14
Cyclosporiasis,2014,35,784
Diphtheria,2014,35,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,35,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,35,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,35,185
Hansen disease,2014,35,81
Hantavirus pulmonary syndrome,2014,35,21
"Hemolytic uremic syndrome, postdiarrheal",2014,35,329
"Hepatitis B, virus infection perinatal",2014,35,48
"Influenza-associated pediatric mortality,",2014,35,161
Leptospirosis,2014,35,NA
Listeriosis,2014,35,735
Measles,2014,35,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,35,142
"Meningococcal disease, invasive, serogroup B",2014,35,99
"Meningococcal disease, invasive, other serogroup",2014,35,17
"Meningococcal disease, invasive, unknown serogroup",2014,35,298
Novel influenza A virus infections***,2014,35,21
Plague,2014,35,4
"Poliomyelitis, paralytic",2014,35,1
"Polio virus Infection, nonparalytic",2014,35,NA
Psittacosis,2014,35,6
"Q fever, total",2014,35,170
"Q fever, acute",2014,35,137
"Q fever, chronic",2014,35,33
"Rabies, human",2014,35,2
Rubella,2014,35,9
"Rubella, congenital syndrome",2014,35,1
SARS-CoV,2014,35,NA
Smallpox,2014,35,NA
Streptococcal toxic-shock syndrome,2014,35,224
"Syphilis, congenital (age <1 yr)",2014,35,348
Tetanus,2014,35,26
Toxic-shock syndrome (staphylococcal),2014,35,71
Trichinellosis,2014,35,22
Tularemia,2014,35,203
Typhoid fever,2014,35,338
Vancomycin-intermediate Staphylococcus aureus,2014,35,248
Vancomycin-resistant Staphylococcus aureus,2014,35,NA
Vibriosis (noncholera Vibrio species infections),2014,35,1299
Viral hemorrhagic fever,2014,35,NA
Yellow fever,2014,35,NA
Anthrax,2014,36,NA
"Arboviral diseases, California serogroup virus disease,",2014,36,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,36,8
"Arboviral diseases, Powassan virus disease,",2014,36,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,36,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,36,NA
"Botulism, total",2014,36,152
"Botulism, foodborne",2014,36,4
"Botulism, infant",2014,36,136
"Botulism, other (wound and unspecified)",2014,36,12
Brucellosis,2014,36,99
Chancroid,2014,36,10
Cholera,2014,36,14
Cyclosporiasis,2014,36,784
Diphtheria,2014,36,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,36,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,36,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,36,185
Hansen disease,2014,36,81
Hantavirus pulmonary syndrome,2014,36,21
